coin,actual_price,forecast_price
XRPUSDT,0.5062,0.40525893098008037
XRPUSDT,0.5684,0.666715380111946
XRPUSDT,0.5631,0.6699148733224747
XRPUSDT,0.6,0.6725092077549281
XRPUSDT,0.5662,0.4007114385946457
XRPUSDT,0.3296,0.39559208567289894
XRPUSDT,0.5728,0.3966307933201071
XRPUSDT,0.5852,0.40120741449594777
XRPUSDT,0.5831,0.40787396726421954
XRPUSDT,0.5967,0.6237422960109219
XRPUSDT,0.5286,0.7830103516628864
XRPUSDT,0.5483,0.7855908875732629
XRPUSDT,0.5482,0.5123358611150404
XRPUSDT,0.3287,0.5152354059508983
XRPUSDT,0.5103,0.5207705298133417
XRPUSDT,0.5537,0.5340523198588875
XRPUSDT,0.8922,0.5448401842578543
XRPUSDT,1.247,0.9621313415059679
XRPUSDT,1.4696,0.9830361098332331
XRPUSDT,2.3574,0.9930848981921837
XRPUSDT,2.3709,0.8129990810156486
XRPUSDT,2.4841,0.805392643824349
XRPUSDT,2.2617,0.6306412519856435
XRPUSDT,2.1466,0.5431718688798998
XRPUSDT,0.3237,0.5582756533174437
